date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2022-12-31,095570,533946966380.0,674420611000.0,1208367577380.0
2021-12-31,095570,471284372830.0,510663284000.0,981947656830.0
2020-12-31,095570,871956093150.0,,871956093150.0
2022-12-31,006840,710681084880.0,3077278770450.0,3787959855330.0
2021-12-31,006840,506430802200.0,2661268849890.0,3167699652090.0
2020-12-31,006840,462935237410.0,2157041980840.0,2619977218250.0
2023-12-31,027410,143086472040.0,300087140040.0,443173612080.0
2022-12-31,027410,131579191680.0,303418248310.0,434997439990.0
2021-12-31,027410,74475342120.0,75712418710.0,150187760830.0
2020-12-31,027410,67551046070.0,86830240240.0,154381286310.0
2023-12-31,282330,1522759796820.0,6671994182070.0,8194753978890.0
2022-12-31,282330,1386199280590.0,6229570187150.0,7615769467740.0
2021-12-31,282330,1177097525590.0,5604063733430.0,6781161259020.0
2020-12-31,282330,1051756036500.0,5129513382790.0,6181269419290.0
2023-12-31,001460,72612824950.0,95788698930.0,168401523880.0
2022-12-31,001460,71733663090.0,97946673770.0,169680336860.0
2021-12-31,001460,69896729070.0,94549164710.0,164445893780.0
2020-12-31,001460,68752583290.0,93110793720.0,161863377010.0
2023-12-31,001465,72612824950.0,95788698930.0,168401523880.0
2022-12-31,001465,71733663090.0,97946673770.0,169680336860.0
2021-12-31,001465,69896729070.0,94549164710.0,164445893780.0
2020-12-31,001465,68752583290.0,93110793720.0,161863377010.0
2022-12-31,001040,11228789320000.0,29696090453000.0,40924879773000.0
2021-12-31,001040,9696112634000.0,24787913920000.0,34484026554000.0
2020-12-31,001040,8607574829000.0,23391528118000.0,31999102947000.0
2022-12-31,079160,1213778878780.0,67527165000.0,1281306043780.0
2021-12-31,079160,701572740650.0,34742626000.0,736315366650.0
2020-12-31,079160,545783743480.0,37660049000.0,583443792480.0
2022-12-31,00104K,11228789320000.0,29696090453000.0,40924879773000.0
2021-12-31,00104K,9696112634000.0,24787913920000.0,34484026554000.0
2020-12-31,00104K,8607574829000.0,23391528118000.0,31999102947000.0
2022-12-31,000120,1186006559170.0,10944706303200.0,12130712862370.0
2021-12-31,000120,1071328065210.0,10272323722280.0,11343651787490.0
2020-12-31,000120,1001171545630.0,9779955604580.0,10781127150210.0
2022-12-31,011150,21535610080.0,131165861850.0,152701471930.0
2021-12-31,011150,22031096020.0,140111855610.0,162142951630.0
2020-12-31,011150,18563118730.0,130486555270.0,149049674000.0
2022-12-31,011155,21535610080.0,131165861850.0,152701471930.0
2021-12-31,011155,22031096020.0,140111855610.0,162142951630.0
2020-12-31,011155,18563118730.0,130486555270.0,149049674000.0
2022-12-31,001045,11228789320000.0,29696090453000.0,40924879773000.0
2021-12-31,001045,9696112634000.0,24787913920000.0,34484026554000.0
2020-12-31,001045,8607574829000.0,23391528118000.0,31999102947000.0
2022-12-31,097950,6554774274000.0,23524738847000.0,30079513121000.0
2021-12-31,097950,5782090997000.0,20507136770000.0,26289227767000.0
2020-12-31,097950,5186413282000.0,19059312372000.0,24245725654000.0
2022-12-31,097955,6554774274000.0,23524738847000.0,30079513121000.0
2021-12-31,097955,5782090997000.0,20507136770000.0,26289227767000.0
2020-12-31,097955,5186413282000.0,19059312372000.0,24245725654000.0
2023-12-31,000480,143704490200.0,673199955330.0,816904445530.0
2022-12-31,000480,119657156320.0,678382456930.0,798039613250.0
2021-12-31,000480,115244026630.0,631047378000.0,746291404630.0
2020-12-31,000480,101086051500.0,604140692510.0,705226744010.0
2022-12-31,000590,33608402700.0,141658049340.0,175266452040.0
2021-12-31,000590,40941590560.0,118076364740.0,159017955300.0
2020-12-31,000590,33174480070.0,98462604430.0,131637084500.0
2023-12-31,012030,84762864960.0,373820997840.0,458583862800.0
2022-12-31,012030,66778531470.0,334566970680.0,401345502150.0
2021-12-31,012030,61817867640.0,265096737280.0,326914604920.0
2020-12-31,012030,63141966090.0,209303873970.0,272445840060.0
2022-12-31,000990,933217768720.0,742069764940.0,1675287533660.0
2021-12-31,000990,535196603490.0,679485436680.0,1214682040170.0
2020-12-31,000990,358884822820.0,577034943660.0,935919766480.0
2023-12-31,001530,62329000920.0,620543126280.0,682872127200.0
2022-12-31,001530,106479038270.0,723449678860.0,829928717130.0
2021-12-31,001530,111634684920.0,701450573130.0,813085258050.0
2020-12-31,001530,87258643400.0,592409442130.0,679668085530.0
2023-12-31,000210,926091480180.0,4091724341060.0,5017815821240.0
