date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2023-09-30,095570,139003800450.0,121957398000.0,260961198450.0
2023-06-30,095570,143612040100.0,96156688000.0,239768728100.0
2023-03-31,095570,120338188180.0,133673741000.0,254011929180.0
2022-12-31,095570,115134829070.0,168139274000.0,283274103070.0
2023-09-30,006840,275071401270.0,865162860480.0,1140234261750.0
2023-06-30,006840,265565008930.0,815581820610.0,1081146829540.0
2023-03-31,006840,296835533180.0,805467867840.0,1102303401020.0
2022-12-31,006840,244578623060.0,768270911610.0,1012849534670.0
2023-12-31,027410,36536196360.0,86858059010.0,123394255370.0
2023-09-30,027410,41750772210.0,67427622140.0,109178394350.0
2023-06-30,027410,38367574960.0,73041513950.0,111409088910.0
2023-03-31,027410,26431928500.0,72759944950.0,99191873450.0
2022-12-31,027410,32277205890.0,78221313070.0,110498518960.0
2023-12-31,282330,374550333510.0,1665608208850.0,2040158542360.0
2023-09-30,282330,416302432570.0,1790507437510.0,2206809870080.0
2023-06-30,282330,396879123330.0,1701344941290.0,2098224064620.0
2023-03-31,282330,335027907410.0,1514533594420.0,1849561501830.0
2022-12-31,282330,349572616080.0,1599667811370.0,1949240427450.0
2023-12-31,001460,22306580230.0,27388147580.0,49694727810.0
2023-09-30,001460,18376050160.0,22247875620.0,40623925780.0
2023-06-30,001460,15562063510.0,26038240720.0,41600304230.0
2023-03-31,001460,16368131040.0,20114435020.0,36482566060.0
2022-12-31,001460,21778380720.0,26727736040.0,48506116760.0
2023-12-31,001465,22306580230.0,27388147580.0,49694727810.0
2023-09-30,001465,18376050160.0,22247875620.0,40623925780.0
2023-06-30,001465,15562063510.0,26038240720.0,41600304230.0
2023-03-31,001465,16368131040.0,20114435020.0,36482566060.0
2022-12-31,001465,21778380720.0,26727736040.0,48506116760.0
2023-09-30,001040,3044003851000.0,7575023350000.0,10619027201000.0
2023-06-30,001040,2828561229000.0,7461767435000.0,10290328664000.0
2023-03-31,001040,2629591720000.0,7147852183000.0,9777443903000.0
2022-12-31,001040,2742924491000.0,7862996194000.0,10605920685000.0
2023-09-30,079160,387326481240.0,20263659000.0,407590140240.0
2023-06-30,079160,379879313960.0,21784823000.0,401664136960.0
2023-03-31,079160,377006587660.0,16588279000.0,393594866660.0
2022-12-31,079160,325342430420.0,9141262000.0,334483692420.0
2023-09-30,00104K,3044003851000.0,7575023350000.0,10619027201000.0
2023-06-30,00104K,2828561229000.0,7461767435000.0,10290328664000.0
2023-03-31,00104K,2629591720000.0,7147852183000.0,9777443903000.0
2022-12-31,00104K,2742924491000.0,7862996194000.0,10605920685000.0
2023-09-30,000120,334446238840.0,2602624886240.0,2937071125080.0
2023-06-30,000120,327412601250.0,2635019771330.0,2962432372580.0
2023-03-31,000120,309874349730.0,2497945353090.0,2807819702820.0
2022-12-31,000120,303924383430.0,2719478174460.0,3023402557890.0
2023-09-30,011150,5517368220.0,32177274560.0,37694642780.0
2023-06-30,011150,4022415190.0,29774446560.0,33796861750.0
2023-03-31,011150,4242422430.0,30883559750.0,35125982180.0
2022-12-31,011150,6559202770.0,36213779530.0,42772982300.0
2023-09-30,011155,5517368220.0,32177274560.0,37694642780.0
2023-06-30,011155,4022415190.0,29774446560.0,33796861750.0
2023-03-31,011155,4242422430.0,30883559750.0,35125982180.0
2022-12-31,011155,6559202770.0,36213779530.0,42772982300.0
2023-09-30,001045,3044003851000.0,7575023350000.0,10619027201000.0
2023-06-30,001045,2828561229000.0,7461767435000.0,10290328664000.0
2023-03-31,001045,2629591720000.0,7147852183000.0,9777443903000.0
2022-12-31,001045,2742924491000.0,7862996194000.0,10605920685000.0
2023-09-30,097950,1628257557000.0,5815191506000.0,7443449063000.0
2023-06-30,097950,1537110810000.0,5682314673000.0,7219425483000.0
2023-03-31,097950,1457168116000.0,5613991193000.0,7071159309000.0
2022-12-31,097950,1535139631000.0,6035933482000.0,7571073113000.0
2023-09-30,097955,1628257557000.0,5815191506000.0,7443449063000.0
2023-06-30,097955,1537110810000.0,5682314673000.0,7219425483000.0
2023-03-31,097955,1457168116000.0,5613991193000.0,7071159309000.0
2022-12-31,097955,1535139631000.0,6035933482000.0,7571073113000.0
2023-12-31,000480,53195189090.0,177657753240.0,230852942330.0
2023-09-30,000480,33902207290.0,162056887480.0,195959094770.0
2023-06-30,000480,28556327510.0,170167697850.0,198724025360.0
2023-03-31,000480,28050766320.0,163317616760.0,191368383080.0
2022-12-31,000480,25313485770.0,181021317700.0,206334803470.0
2023-09-30,000590,9479284040.0,31478225000.0,40957509040.0
2023-06-30,000590,10051977790.0,36353924010.0,46405901800.0
2023-03-31,000590,7933379150.0,34259480230.0,42192859380.0
2022-12-31,000590,3364315070.0,38794727230.0,42159042300.0
2023-12-31,012030,17536267450.0,120060449100.0,137596716550.0
2023-09-30,012030,23877238980.0,89464955260.0,113342194240.0
2023-06-30,012030,19007598420.0,75830760020.0,94838358440.0
2023-03-31,012030,24341760110.0,88464833460.0,112806593570.0
2022-12-31,012030,14527496230.0,87191702560.0,101719198790.0
2023-09-30,000990,92827516520.0,174974053860.0,267801570380.0
2023-06-30,000990,131249046870.0,177568327030.0,308817373900.0
2023-03-31,000990,123982107680.0,174185309440.0,298167417120.0
2022-12-31,000990,203392815820.0,193747867380.0,397140683200.0
2023-12-31,001530,16551159200.0,84614566210.0,101165725410.0
2023-09-30,001530,15881320100.0,168559631560.0,184440951660.0
2023-06-30,001530,15152803000.0,174575312350.0,189728115350.0
2023-03-31,001530,14743718620.0,192793616160.0,207537334780.0
2022-12-31,001530,16071890890.0,191708636990.0,207780527880.0
2023-12-31,000210,246156855720.0,1001011055580.0,1247167911300.0
2023-09-30,000210,200489433760.0,1063959212770.0,1264448646530.0
2023-06-30,000210,205512919380.0,1013318275900.0,1218831195280.0
2023-03-31,000210,273932271320.0,1013435796810.0,1287368068130.0
2022-12-31,000210,188423729940.0,1143809602470.0,1332233332410.0
2023-12-31,000215,246156855720.0,1001011055580.0,1247167911300.0
2023-09-30,000215,200489433760.0,1063959212770.0,1264448646530.0
2023-06-30,000215,205512919380.0,1013318275900.0,1218831195280.0
2023-03-31,000215,273932271320.0,1013435796810.0,1287368068130.0
2022-12-31,000215,188423729940.0,1143809602470.0,1332233332410.0
2023-12-31,375500,221151925370.0,2111842865690.0,2332994791060.0
2023-09-30,375500,176661684070.0,1660759502790.0,1837421186860.0
2023-06-30,375500,191375903990.0,1779202838250.0,1970578742240.0
2023-03-31,375500,192921071940.0,1657147824570.0,1850068896510.0
2022-12-31,375500,263924183360.0,1992330132850.0,2256254316210.0
2023-12-31,37550L,221151925370.0,2111842865690.0,2332994791060.0
2023-09-30,37550L,176661684070.0,1660759502790.0,1837421186860.0
2023-06-30,37550L,191375903990.0,1779202838250.0,1970578742240.0
2023-03-31,37550L,192921071940.0,1657147824570.0,1850068896510.0
2022-12-31,37550L,263924183360.0,1992330132850.0,2256254316210.0
2023-12-31,37550K,221151925370.0,2111842865690.0,2332994791060.0
2023-09-30,37550K,176661684070.0,1660759502790.0,1837421186860.0
2023-06-30,37550K,191375903990.0,1779202838250.0,1970578742240.0
2023-03-31,37550K,192921071940.0,1657147824570.0,1850068896510.0
2022-12-31,37550K,263924183360.0,1992330132850.0,2256254316210.0
2023-12-31,007340,204034308570.0,602238012980.0,806272321550.0
2023-09-30,007340,203219732890.0,598083715500.0,801303448390.0
2023-06-30,007340,211889705290.0,619666422870.0,831556128160.0
2023-03-31,007340,206539957090.0,623571209920.0,830111167010.0
2022-12-31,007340,216149239460.0,656370127440.0,872519366900.0
2023-12-31,004840,35069444610.0,164231787010.0,199301231620.0
2023-09-30,004840,34831614680.0,140114126250.0,174945740930.0
2023-06-30,004840,38265206840.0,156173159560.0,194438366400.0
2023-03-31,004840,36987010000.0,132105418870.0,169092428870.0
2022-12-31,004840,40968958260.0,139732031230.0,180700989490.0
2023-09-30,155660,11929599740.0,59655818460.0,71585418200.0
2023-06-30,155660,12988494750.0,66822559090.0,79811053840.0
2023-03-31,155660,11644060630.0,59752403620.0,71396464250.0
2022-12-31,155660,13983570680.0,73814253250.0,87797823930.0
2023-09-30,069730,9253958760.0,42580080570.0,51834039330.0
2023-06-30,069730,9918307130.0,45636723490.0,55555030620.0
2023-03-31,069730,9057854820.0,41311018110.0,50368872930.0
2022-12-31,069730,12299720860.0,56973770260.0,69273491120.0
2022-12-31,017860,17326063310.0,274211143170.0,291537206480.0
2023-09-30,017940,50893217560.0,1788589792170.0,1839483009730.0
2023-06-30,017940,174708637860.0,1700060207250.0,1874768845110.0
2023-03-31,017940,132421480230.0,1877229610810.0,2009651091040.0
2022-12-31,017940,181034989160.0,1818396037770.0,1999431026930.0
2023-02-28,365550,24503896620.0,24503896620.0
2023-09-30,383220,330074261850.0,162741191900.0,492815453750.0
2023-06-30,383220,284347111650.0,121132766230.0,405479877880.0
2023-03-31,383220,343992630710.0,153411723510.0,497404354220.0
