date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2022-12-31,006840,710681084880.0,3077278770450.0,3787959855330.0
2021-12-31,006840,506430802200.0,2661268849890.0,3167699652090.0
2020-12-31,006840,462935237410.0,2157041980840.0,2619977218250.0
2023-12-31,282330,1522759796820.0,6671994182070.0,8194753978890.0
2022-12-31,282330,1386199280590.0,6229570187150.0,7615769467740.0
2021-12-31,282330,1177097525590.0,5604063733430.0,6781161259020.0
2020-12-31,282330,1051756036500.0,5129513382790.0,6181269419290.0
2022-12-31,001040,11228789320000.0,29696090453000.0,40924879773000.0
2021-12-31,001040,9696112634000.0,24787913920000.0,34484026554000.0
2020-12-31,001040,8607574829000.0,23391528118000.0,31999102947000.0
2022-12-31,079160,1213778878780.0,67527165000.0,1281306043780.0
2021-12-31,079160,701572740650.0,34742626000.0,736315366650.0
2020-12-31,079160,545783743480.0,37660049000.0,583443792480.0
2022-12-31,00104K,11228789320000.0,29696090453000.0,40924879773000.0
2021-12-31,00104K,9696112634000.0,24787913920000.0,34484026554000.0
2020-12-31,00104K,8607574829000.0,23391528118000.0,31999102947000.0
2022-12-31,000120,1186006559170.0,10944706303200.0,12130712862370.0
2021-12-31,000120,1071328065210.0,10272323722280.0,11343651787490.0
2020-12-31,000120,1001171545630.0,9779955604580.0,10781127150210.0
2022-12-31,001045,11228789320000.0,29696090453000.0,40924879773000.0
2021-12-31,001045,9696112634000.0,24787913920000.0,34484026554000.0
2020-12-31,001045,8607574829000.0,23391528118000.0,31999102947000.0
2022-12-31,097950,6554774274000.0,23524738847000.0,30079513121000.0
2021-12-31,097950,5782090997000.0,20507136770000.0,26289227767000.0
2020-12-31,097950,5186413282000.0,19059312372000.0,24245725654000.0
2022-12-31,097955,6554774274000.0,23524738847000.0,30079513121000.0
2021-12-31,097955,5782090997000.0,20507136770000.0,26289227767000.0
2020-12-31,097955,5186413282000.0,19059312372000.0,24245725654000.0
2023-12-31,000480,143704490200.0,673199955330.0,816904445530.0
2022-12-31,000480,119657156320.0,678382456930.0,798039613250.0
2021-12-31,000480,115244026630.0,631047378000.0,746291404630.0
2020-12-31,000480,101086051500.0,604140692510.0,705226744010.0
2022-12-31,000990,933217768720.0,742069764940.0,1675287533660.0
2021-12-31,000990,535196603490.0,679485436680.0,1214682040170.0
2020-12-31,000990,358884822820.0,577034943660.0,935919766480.0
2023-12-31,007340,825683703850.0,2443559361260.0,3269243065110.0
2022-12-31,007340,732699702800.0,2423676520770.0,3156376223570.0
2021-12-31,007340,150128474140.0,780624256260.0,930752730400.0
2020-12-31,007340,124062982890.0,679033394300.0,803096377190.0
2022-12-31,155660,62705603390.0,304751232840.0,367456836230.0
2021-12-31,155660,35451421720.0,236966229990.0,272417651710.0
2020-12-31,155660,32385331950.0,198594522300.0,230979854250.0
2022-12-31,069730,43068589770.0,218618571970.0,261687161740.0
2021-12-31,069730,17673966400.0,189468793190.0,207142759590.0
2020-12-31,069730,16318265210.0,159888301570.0,176206566780.0
2022-12-31,017860,116408691760.0,1017311271990.0,1133719963750.0
2021-12-31,017860,113114840190.0,787392373610.0,900507213800.0
2022-12-31,383220,1276182452780.0,532712093920.0,1808894546700.0
2021-12-31,383220,796419578350.0,292752508580.0,1089172086930.0
2022-12-31,007700,1278924791790.0,537890145680.0,1816814937470.0
2021-12-31,007700,516916817690.0,210209527670.0,727126345360.0
2020-12-31,007700,9759771920.0,10890801340.0,20650573260.0
2022-12-31,078930,8004898000000.0,20772150000000.0,28777048000000.0
2021-12-31,078930,4935588000000.0,15229461000000.0,20165049000000.0
2020-12-31,078930,2758692000000.0,12685522000000.0,15444214000000.0
2022-12-31,001250,185237135070.0,4885685982280.0,5070923117350.0
2021-12-31,001250,135046667460.0,3713993852820.0,3849040520280.0
2020-12-31,001250,122247488700.0,2692773490760.0,2815020979460.0
2023-12-31,007070,2960024069830.0,8652523850900.0,11612547920730.0
2022-12-31,007070,2832293205490.0,8199599500460.0,11031892705950.0
2021-12-31,007070,2197146326330.0,7493512996050.0,9690659322380.0
2020-12-31,007070,1831295803620.0,7031023135790.0,8862318939410.0
2022-12-31,078935,8004898000000.0,20772150000000.0,28777048000000.0
2021-12-31,078935,4935588000000.0,15229461000000.0,20165049000000.0
2020-12-31,078935,2758692000000.0,12685522000000.0,15444214000000.0
2022-12-31,267250,5966570425000.0,54883097648000.0,60849668073000.0
2021-12-31,267250,2617374821000.0,25736296657000.0,28353671478000.0
2020-12-31,267250,569687282000.0,18341294237000.0,18910981519000.0
2022-12-31,267270,602038002000.0,2913573919000.0,3515611921000.0
2021-12-31,267270,532625513000.0,2751714110000.0,3284339623000.0
2020-12-31,267270,428309249000.0,1962200545000.0,2390509794000.0
2022-12-31,322000,185269265820.0,799543147300.0,984812413120.0
2021-12-31,322000,75898273970.0,517265307900.0,593163581870.0
2020-12-31,322000,52920593660.0,341476118900.0,394396712560.0
2022-12-31,042670,1007621308160.0,3748492193510.0,4756113501670.0
2021-12-31,042670,991318318460.0,3602346827880.0,4593665146340.0
2020-12-31,042670,842033952770.0,3146070044290.0,3988103997060.0
2023-12-31,035000,219719787540.0,328614211480.0,548333999020.0
2022-12-31,035000,204404402820.0,326043650800.0,530448053620.0
2021-12-31,035000,184458984450.0,274038786040.0,458497770490.0
2020-12-31,035000,164697287200.0,210919735540.0,375617022740.0
2023-12-31,001060,335542396070.0,412984311740.0,748526707810.0
2022-12-31,001060,287954537740.0,396396561500.0,684351099240.0
2021-12-31,001060,234376333340.0,372208611430.0,606584944770.0
2020-12-31,001060,177525624140.0,369810083660.0,547335707800.0
