date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2023-09-30,079160,387326481240.0,20263659000.0,407590140240.0
2023-06-30,079160,379879313960.0,21784823000.0,401664136960.0
2023-03-31,079160,377006587660.0,16588279000.0,393594866660.0
2022-12-31,079160,325342430420.0,9141262000.0,334483692420.0
2022-12-31,017860,17326063310.0,274211143170.0,291537206480.0
2023-09-30,003580,9929100400.0,12798166060.0,22727266460.0
2023-06-30,003580,9309559820.0,11192138220.0,20501698040.0
2023-03-31,003580,8306025830.0,9817772490.0,18123798320.0
2022-12-31,003580,699587330.0,8774512830.0,9474100160.0
2023-09-30,302440,105481796400.0,126344487330.0,231826283730.0
2023-06-30,302440,6480732100.0,19997495240.0,26478227340.0
2023-03-31,302440,885120820.0,19711707370.0,20596828190.0
2023-09-30,465770,479408680.0,2294337580.0,2773746260.0
2023-09-30,003230,117160873940.0,218085756620.0,335246630560.0
2023-06-30,003230,100798771790.0,184561988510.0,285360760300.0
2023-03-31,003230,70379843150.0,175182021770.0,245561864920.0
2022-12-31,003230,69695921120.0,170311453310.0,240007374430.0
2023-09-30,013000,1202477430.0,8697373320.0,9899850750.0
2023-06-30,013000,1154811980.0,8495567970.0,9650379950.0
2023-03-31,013000,1111237010.0,6366027780.0,7477264790.0
2022-12-31,013000,938455490.0,5497396800.0,6435852290.0
2023-09-30,026890,17207583420.0,740920450.0,17948503870.0
2023-06-30,026890,15228603920.0,585510600.0,15814114520.0
2023-03-31,026890,12719025410.0,616446610.0,13335472020.0
2022-12-31,026890,6003744740.0,4753644210.0,10757388950.0
2023-12-31,462520,38842261760.0,117316931260.0,156159193020.0
2023-09-30,462520,19268442730.0,103939272540.0,123207715270.0
2023-09-30,044820,31116567790.0,136417331910.0,167533899700.0
2023-06-30,044820,28464687870.0,127163504390.0,155628192260.0
2023-03-31,044820,23434813900.0,126147212620.0,149582026520.0
2022-12-31,044820,16418982670.0,128198913290.0,144617895960.0
2023-09-30,003350,5447708670.0,22723840310.0,28171548980.0
2023-06-30,003350,5311374360.0,22460577130.0,27771951490.0
2023-03-31,003350,5006635640.0,21901543830.0,26908179470.0
2022-12-31,003350,2720784870.0,17605293020.0,20326077890.0
2023-09-30,453340,101605070000.0,472982868000.0,574587938000.0
2023-06-30,453340,91731354000.0,428746015000.0,520477369000.0
2023-03-31,453340,33055906000.0,141427285000.0,174483191000.0
